Source,Target,DATE,WEIGHT
beansjust,scottishfa,2016-11-03,1
beansjust,poppylegion,2016-11-03,1
beansjust,nike,2016-11-03,1
rcfoster,susan1878,2016-11-03,1
rcfoster,wordpressdotcom,2016-11-03,1
borehamhouse,fifacom,2016-11-03,1
borehamhouse,teresamaymp,2016-11-03,1
pguppy,england,2016-11-03,1
pguppy,scottishfa,2016-11-03,1
pguppy,bbcbreakfast,2016-11-03,1
crowsunofficial,grndhoppinggrl,2016-11-03,1
jc_kemp,fa,2016-11-03,1
theedgepics,fifacom,2016-11-03,1
jasonmaguire1,fifacom,2016-11-03,1
johnspicer01,fa,2016-11-03,1
johnspicer01,fifacom,2016-11-03,1
thebaddison,fa,2016-11-12,1
thebaddison,bbcsport,2016-11-03,1
thebaddison,bbcr4today,2016-11-03,1
thebaddison,petermartindup,2016-11-03,1
ballcock83,poppylegion,2016-11-03,1
wild3j,england,2016-11-03,1
wild3j,scottishfa,2016-11-03,1
wild3j,beverleysisters,2016-11-03,1
angusirvine1,fa,2016-11-03,1
angusirvine1,fifacom,2016-11-03,1
angusirvine1,scottishfa,2016-11-03,1
angusirvine1,fawales,2016-11-03,1
staybehinds,fifacom,2016-11-03,1
nicholasmith6,nickdixonitv,2016-11-03,1
nicholasmith6,gmb,2016-11-03,1
nicholasmith6,susannareid100,2016-11-03,1
nicholasmith6,benshephard,2016-11-03,1
paul_framp,fa,2016-11-03,1
jmoorhouse84,fifacom,2016-11-03,1
buntingsworld,fa,2016-11-03,1
jibbajabbasteve,fifacom,2016-11-03,1
dandkpictures,tracey_crouch,2016-11-03,1
yogajapa,wardiaryf82,2016-11-03,1
yogajapa,illustriousasso,2016-11-03,1
cdsl_interprete,mrjamesob,2016-11-03,2
cdsl_interprete,lbcbreaking,2016-11-03,2
cdsl_interprete,shelaghfogarty,2016-11-03,1
cravendale,fifacom,2016-11-03,1
hevans111,fifacom,2016-11-03,1
britlizhilton,thetwomikes,2016-11-03,1
britlizhilton,mikeparry8,2016-11-03,1
britlizhilton,beckynz,2016-11-03,1
carsonackroyd,fifacom,2016-11-03,1
bathb0y,fa,2016-11-03,1
bathb0y,scottishfa,2016-11-03,1
fionashirley76,simonshirley72,2016-11-03,1
fionashirley76,fa,2016-11-03,1
simonshirley72,fa,2016-11-03,1
elliottgilmore,fifacom,2016-11-03,1
jnthnmorse,fa,2016-11-03,2
jnthnmorse,fifacom,2016-11-03,2
jnthnmorse,england,2016-11-03,1
jnthnmorse,fifaworldcup,2016-11-03,1
jnthnmorse,ndwestmarland,2016-11-03,1
jnthnmorse,willowbrookwolf,2016-11-03,1
jnthnmorse,sovereignannie,2016-11-03,1
jnthnmorse,fifa2018_news,2016-11-03,1
tellyhermit,cocacola,2016-11-03,1
tellyhermit,mcdonalds,2016-11-03,1
tellyhermit,visa,2016-11-03,1
1mavericktopgun,poppylegion,2016-11-03,1
gagebock,bbcnewsnight,2016-11-03,1
sligfo,donalogc,2016-11-03,1
sligfo,petermartindup,2016-11-03,1
kaffie74,thelastleg,2016-11-04,1
thejudge2k11,thelastleg,2016-11-04,1
anthonyadler,misterbrilliant,2016-11-04,1
liamoneill12,garylineker,2016-11-04,1
liamoneill12,johnbishop100,2016-11-04,1
djseancurtisjnr,official_stfc,2016-11-04,1
djseancurtisjnr,nigel_farage,2016-11-06,1
bleachyboy,giantpoppywatch,2016-11-04,3
anfuiseog,therobertfisk,2016-11-04,1
rackandrule,fifacom,2016-11-04,1
alanwm1986,thelastleg,2016-11-04,1
harryrobinson64,strettynews,2016-11-04,1
harryrobinson64,mike_loudmouth,2016-11-04,1
realsarahjprice,fa,2016-11-04,1
realsarahjprice,fifacom,2016-11-23,1
realsarahjprice,scottishfa,2016-11-04,1
realsarahjprice,fawales,2016-11-04,1
realsarahjprice,markcf83thfc,2016-11-23,1
miastoehr,sz,2016-11-04,1
coachtonymee,fa,2016-11-04,1
sionnach88,fifacom,2016-11-04,1
sionnach88,faireland,2016-11-04,1
sionnach88,bbctalkback,2016-11-04,1
sionnach88,officialirishfa,2016-11-12,1
maxmcevoy,guedella,2016-11-04,1
mylittleedenart,ukchange,2016-11-04,1
longthrowmitch,fa,2016-11-04,1
youboysingreen,fifacom,2016-11-04,1
steveohrourke,ronanduffy_,2016-11-04,1
claraffrench,damiancollins,2016-11-04,1
gpdoran,bernardmccabe,2016-11-04,1
gjo2405,poppylegion,2016-11-04,1
gjo2405,footballassoc,2016-11-04,1
gjo2405,fawales,2016-11-04,1
gjo2405,fascotland,2016-11-04,1
dejiplus,fifacom,2016-11-04,1
dejiplus,england,2016-11-04,1
dejiplus,scottishfa,2016-11-04,1
dejiplus,theifab,2016-11-04,1
thechriselkins,fifacom,2016-11-04,1
classyhippylife,richiebrave,2016-11-04,1
pbsportswriter,londonwaterloo,2016-11-04,1
goddady40,fifacom,2016-11-04,1
goddady40,fifamedia,2016-11-04,1
dailew22,garylineker,2016-11-04,1
vin103,dickinsontimes,2016-11-04,1
jamiedonald861,huffpostuk,2016-11-04,1
rookmeister,dionfarnes,2016-11-04,1
matthughestimes,dickinsontimes,2016-11-04,1
kennyw19k,stancollymore,2016-11-05,1
martzreed1975,fifacom,2016-11-05,1
martzreed1975,england,2016-11-05,1
martzreed1975,fifaworldcup,2016-11-05,1
martzreed1975,scottishfa,2016-11-05,1
martzreed1975,fawales,2016-11-05,1
richardbuxton_,dannyob,2016-11-05,1
richardbuxton_,alansmith90,2016-11-05,1
cllrmedney,gordonbambridge,2016-11-05,1
mcy1x,bbcnews,2016-11-06,1
mcy1x,afneil,2016-11-09,1
thefoxster40,sean_osull00,2016-11-06,1
biggievito,fifacom,2016-11-06,1
cameroncomment,fifacom,2016-11-06,1
cameroncomment,jeffprestridge,2016-11-06,1
abehhh,_dcs1959,2016-11-06,1
11122x,madmaninblack1,2016-11-06,1
eddiecavaz,fifacom,2016-11-06,1
markdonnyiron,lcfc,2016-11-06,1
smithy_m9,sirdanwilson,2016-11-06,1
stonefish74,dailymailuk,2016-11-06,1
stonefish74,merryarty,2016-11-06,1
stonefish74,trump_ton,2016-11-06,1
stonefish74,mike___mk,2016-11-06,1
stonefish74,daily_express,2016-11-06,1
robert5977,dazcahill81,2016-11-07,1
robert5977,davidb1996,2016-11-07,1
jamesclarke75,robertcorp,2016-11-07,1
unishefhistory,martinjohnes,2016-11-07,1
